,Author,Date,body
3105,alexi sonza,2016-06-19,please add option for vibrate on and off thanks 
3106,dharmendra singh sisodiya,2016-06-19,i be used linkdin since 2007  i think there be need some more improvement in designing 
3107,venkateswara rao kancherla,2016-06-19,kayvee
3108,usman dogar,2016-06-19,i use this   it very useful for unemployment 
3109,abdul wahab inusah,2016-06-19,great
3110,suhayl whyte,2016-06-19,your latest update be poked  can t sign in and view be not right?
3111,bhushan barge,2016-06-19,very good
3112,biko kenyanito,2016-06-19,i love how it bring me close to people  its aleekness be atop 
3113,simon inman,2016-06-19,regularly insist on check your phone book and suggest inropriate job
3114,edwin mathew,2016-06-19,amazing
3115,biswajit biswas,2016-06-19,the used to work really well  but after recent update the be crash at the startup and do not launch at all  please fix the issue asap 
3116,rajiv sharaf,2016-06-19,very good
3117,prabhat kumar,2016-06-19,this be good to use 
3118,shadrack wembe,2016-06-19,so awesome
3119,louis yvon,2016-06-19,wonderful
3120,ankur chakravorty,2016-06-19,filmmaker
3121,saurabh bisen,2016-06-19,it s good 
3122,karen maranan,2016-06-19,lag all the time  kindly fix it 
3123,sinah mkhonta,2016-06-19,solar city to make high
3124,isaac muiruri,2016-06-19,poa zaidi  asante
3125,guo kai,2016-06-19,seem powerful but desperately slow when load msg list which be so critical for daily use  make all other shine feature useless and meaningless
3126,shita rahutomo,2016-06-19,help me to connect to many person
3127,jason burns,2016-06-19,it doesn t recognise my browser on my note 6 since the last update and win t log in  please fix it!!
3128,malick makori,2016-06-19,quite helpful
3129,sachin agarwal,2016-06-19,very useful
3130,andrew ang,2016-06-19,project management
3131,rakesh jef,2016-06-19,om shanti
3132,karen loehrer,2016-06-19,great
3133,divyesh kabrawala,2016-06-19,great group
3134,ashher mohammed khan,2016-06-19,lot better than the web ui  so interactive easy to use and responsive  love it 
3135,pranjal rastogi,2016-06-19,good
3136,selbol edward,2016-06-19,awesome
3137,allan bridges,2016-06-19,win t let me past captcha
3138,chandra nagar,2016-06-19,5 s
3139,mina wassef,2016-06-19,can u add the ability to unfriend and to recommend? thx
3140,a samad hassan,2016-06-19,working again
3141,mansoor hasme,2016-06-19,to all friend
3142,bradley tyler,2016-06-19,for some reason the mobile version of be force me to change my password  i would rather uninstall it and use the web interface  it be ridiculous to have to change the password just for a mobile  
3143,khadim soomro,2016-06-19,very useful
3144,lucas mulaudzi,2016-06-19,it be of paramount importance that we be able to connect with person who matter  profile of person who can help those young person who need idea or opportunities  i reciate what you be doing  continue with the good work  we be in a global village let us be connected 
3145,mohamed elbanna,2016-06-19,professional
3146,scott schneider,2016-06-19,horrible new ui  it s bad enough this will soon be own and operated by microsoft  this latest update be abysmal  deleting  if i need to get an update i will wait until i be in front of a computer
3147,tofayel onnik,2016-06-19,mai teacher say me for used linkdin
3148,bambang sardjono,2016-06-18,membawa terang bagi sesama
3149,grant morgan,2016-06-18,the be good but i d like it to recognise when i have cleared notification between device i e  i don t want to see the same thing twice 
3150,puneet bhargava,2016-06-18,awasome relation building tool for all professional
3151,lulu fajriyah,2016-06-18,already uninstall but when i open calendar always ask to renew connetion  thus open google play to install again  huft
3152,suresh babu,2016-06-18,team please sort the issue regard message when send to a person have see the message or not like fb hang out messenger
3153,shourya singh,2016-06-18,best
3154,susmita mondal,2016-06-18,so much
3155,shailendra singh,2016-06-18,i have be used on my nexus tablet for over an year now  with recent update the feed be now display in two column which make it really difficult to read  this be the case only with tablet as the feed be show in single column in my moto g handset  please make necessary change to ensure feed be display properly in tablets  thank
3156,amit gurav,2016-06-18,easy to use  thank
3157,meir s,2016-06-18,the doesn t seem to finish load
3158,frank higgins,2016-06-18,rubbish
3159,a google user,2016-06-18,i m unable to get into my account used the   no problem on the website include the mobile site  miss a great opportunity as a result  please fix 
3160,jason watts,2016-06-18,doesn t recognise password change multiple time and still no access
3161,dhananjay yerande,2016-06-18,not user friendly!
3162,faisal aijaz,2016-06-18,it be work fine till latest update log me out for no reason  u0026amp  now i cannot log back in  be it an update u guy do or downgrade?????
3163,imma shaikh,2016-06-18,really not able to login as microsoft take over
3164,adjoa trisha,2016-06-18,be a good but please why be it that u cnt download picture or copy word to a different media 
3165,marilyn theus,2016-06-18,make banking so simple 
3166,louis john feast,2016-06-18,print manager
3167,laurel paras,2016-06-18,i try to update my picture but it get stuck on submit info  forever 
3168,manikanta naik,2016-06-18,good
3169,nelson dulongan,2016-06-18,i cannot access my real account profile picture of cross sign why?
3170,mcsas   hearts of love,2016-06-18,with one can simply get connect in a twinkle of an eye!
3171,elad yerushalmi,2016-06-18,excellent
3172,ravi kainth,2016-06-18,no better way to connect with professionals 
3173,david king,2016-06-18,not business and site instead be more like facebook  see how many connection you can get?
3174,mukesh kute,2016-06-18,cool
3175,a google user,2016-06-18,samsung galaxy with android 
3176,gourav agarwal,2016-06-18,microsoft will improve it
3177,namita porwal,2016-06-18,when i try to enter the field in which i volunteer what be show in my profile be the field next in the drop down  for eg when i choose education it show up as environment in my profile
3178,liz richard,2016-06-18,all i get now be a white screen  for a week now  it kick me out when i be on it last week and now it doesn t work 
3179,george p maguire,2016-06-18,good
3180,misgianto kaniputro,2016-06-18,manager
3181,jeremy nelson,2016-06-18,any change to your profile you try to make via the inevitably fail to save  it s annoying to use 
3182,rob wallace,2016-06-18,when you click on an advertised job the be freeze and the need to be force close to work again! need fixing!
3183,karan das,2016-06-18,lalit
3184,sudeep chattopadhyay,2016-06-18,professional
3185,udit krishnan,2016-06-18,the mobile lication be run seamlessly now the pic captcha verification simply refuse the user to login  i have to change my password twice as it seem to be phish issue as none of the input be helping 
3186,mbongeni ndlovu,2016-06-18,junior sale manager
3187,vikas kumar verma,2016-06-18,great s for professional
3188,abhishek nigam,2016-06-18,very good
3189,jon ma,2016-06-18,be it me or be android user have issue logging in?
3190,md mithu,2016-06-18,dada
3191,faizan refai,2016-06-18,not good slow
3192,wendy o,2016-06-18,excellent alternative to other social media 
3193,kendall hudson,2016-06-18,easier to use than even their full web page 
3194,mohamed riyad anbari,2016-06-18,helllo dear i actually like this it provide a good ground for inter profession link
3195,frank konadu festus,2016-06-18,perfect
3196,antonin nathan,2016-06-18,hello i don t understand the doesn t load my message either it have load my profile of 5 year ago skip all what come after 2012 and no way to find out from user support  please set a proper ticket deskregard
3197,james reynolds,2016-06-18,retire
3198,imran shah,2016-06-18,couldnt ly for all job through   need to open other browser for search email do something for direct ly pls
3199,clement tanihaha,2016-06-18,love it!
3200,tanuja kumari,2016-06-18,it s perfect 4  all
3201,taha iqbal,2016-06-18,great work perfectly  particularly message and communication be great experience  
3202,dr satbir singh kaliraman,2016-06-18,it be the best s
3203,abdul rasheed a,2016-06-17,nice but plz include a prompt for send invitation to all then i can give 5 star
3204,ifti neel,2016-06-17,just need to lower their monthly subscription other than that all good
3205,khan saleem,2016-06-17,good communication
3206,sherjil jilani,2016-06-17,this be a great   i like it so much 
3207,babu jangam,2016-06-17,i like it
3208,vikash sharma,2016-06-17,it be very useful sofor the winare
3209,mradul kaushik,2016-06-17,nice lication to stay connect
3210,sahil banga,2016-06-17,good one
3211,aatish nair,2016-06-17,ui should free up a bit more  not all possible option of be accessible through this  
3212,stone packard,2016-06-17,it be an essential tool to connect with colleague of current place of employment and colleague of past place employment 
3213,megan zvacek,2016-06-17,slot
3214,abhishek solanki,2016-06-17,can t open my account too much check and nothing understanding
3215,rahul bhanushali,2016-06-17,slow!
3216,phanthi diemxuan,2016-06-17,i love doulingo!
3217,amit singh,2016-06-17,nice
3218,sagar pinjarkar,2016-06-17,how to see new connection in o2n network 
3219,guti mani concept,2016-06-17,superb
3220,gaurav bhut,2016-06-17,for old version be good
3221,sangeeta gupta,2016-06-17,helpful
3222,k nr,2016-06-17,good  
3223,piyush dhakate,2016-06-17,its a nice very stable and fast 
3224,gajendra singh,2016-06-17,it s easy to use
3225,santosh ifs,2016-06-17,crash frequently
3226,alok tiwari,2016-06-17,good
3227,david atendo,2016-06-17,fair
3228,chathura buddika,2016-06-17,useful
3229,dipak sonwane,2016-06-17,plz update
3230,erica long,2016-06-17,can t log in anymore  browser not supported!!!
3231,mohammed rashad,2016-06-17,great one
3232,rocky newman,2016-06-17,education rather incarceration
3233,miz moon,2016-06-17,such a waste  cannot load after the latest update  cant read message  cant do anything! fix this pls 
3234,stewart williams,2016-06-17,ditto
3235,amit mondal,2016-06-17,more features? ???
3236,john jalloh,2016-06-17,friends and contact
3237,amitav patnaik,2016-06-17,good professional
3238,christopher coles,2016-06-17,i haven t get this and dosn t look like i m go to either after look at all the reviews  i ll wait till they get it right now that microsoft have buy them 
3239,kate smith,2016-06-17,no longer works  i m in an endless security check loop that never load the actual  
3240,imran khan,2016-06-17,update this and now unable to login  what a pain  every time i be try to login it s ask if i be not a robot  then it get stuck after verify it  my login credential be correct  please fix 
3241,david ellington,2016-06-17,everyone be here
3242,priyank khandelwal,2016-06-17,nice   must have for all job person out there  great community 
3243,manojyadav s n singh,2016-06-17,good thing come to those who wait
3244,meyyappan sornakumar,2016-06-17,very usefull
3245,ishaq zurmi,2016-06-17,i be still on try but see be go to be good
3246,ankit gupta,2016-06-17,awesome
3247,neeraj goel,2016-06-17,wonderful
3248,sandip patil,2016-06-17,not work on android 6
3249,amit kapoor,2016-06-17,liked it so much
3250,chiluba bupe,2016-06-17,i just love the way this awesome connect person
3251,kartiikeya baleneni,2016-06-17,microsoft rock
3252,mahesh ladumor,2016-06-17,
3253,prabhu g,2016-06-17,no notification be pop up in redmi note 4
3254,"bander, abu yasir",2016-06-17,it be no working now  please fix the problem 
3255,sudip palit,2016-06-17,gr8
3256,diana perlick,2016-06-17,link in
3257,aremu john femi,2016-06-17,best ever
3258,adenike ikubaje,2016-06-17,it make me feel high when connect with person around the world
3259,anil sah,2016-06-17,improvement need
3260,ashok hansraj kesaria,2016-06-17,should improve privacy feature to void some of my prominent contact to be access by rest of person from contact list in between
3261,shanna palmer,2016-06-17,i just try to login on my replacement phone and it bring me to a web page that say there be an unexpected problem that prevented us from complete your request  i ve try uninstal and reinstal a few time but it keep hening  i have it on my old phone and it work great but this be horrible 
3262,robert petry,2016-06-16,crash
3263,anuja kothekar,2016-06-16,nice
3264,kevin briones,2016-06-16,im logging in the and after log in it say im used an unsupported browser  this be a fail if i ll end up used the browser to check my profile
3265,james wilson,2016-06-16,couldnt delete this   it be a virus dont download it 
3266,valco servant,2016-06-16,great
3267,lliyas khavari,2016-06-16,ok
3268,vasu sachdeva,2016-06-16,it s not like i m not willing to update but why can t you person decide to make one run   every after 2 3 day you get a new update
3269,mukesh luhar,2016-06-16,i find there r some fonction r conplicate to undastand   better to make easy to use and everyone can use easylly 
3270,sourish bhattacharya,2016-06-16,wonderful
3271,bungaboy mac,2016-06-16,love this!
3272,stanley r,2016-06-16,if i m look at one of my connection s connection when i scroll through them the screen blank out like it s try to refresh bit never does  it stay a white screen 
3273,jesperschlosser,2016-06-16,need fix of several bug and flaws  terrible feedback  send report on report but don t hear anything back  rude  will never pay money for anything from this company  simply waste of money 
3274,rich tere,2016-06-16,the best
3275,pete mcqueeny,2016-06-16,not quite as smooth as say facebook or twitter but a decent   change my password break it  it would only load a white screen  have to reinstall 
3276,kenny mamzy,2016-06-16,easy to use and popular
3277,ezra steven,2016-06-16,nice 
3278,birendra mishra,2016-06-16,nice
3279,darwin zheng,2016-06-16,prevent me from logging on  captcha loop 
3280,belinda marie,2016-06-16,i be not a robot  how many time do i have to verify? please fix 
3281,yagnesh vyas,2016-06-16,excellw
3282,dung a  pham,2016-06-16,wow! a 26 billion usd company     
3283,manish sharma,2016-06-16,too slow
3284,umanah johnson,2016-06-16,just good
3285,phil carlo tolentino,2016-06-16,the keep crash
3286,navneet nandan jha,2016-06-16,i have update this last night and now it be get crashed 
3287,zonia titus,2016-06-16,user unfriendly
3288,jujar jangid,2016-06-16,good
3289,sathya d,2016-06-16,a fb of professional
3290,pooja thakur,2016-06-16,ok
3291,ashley nicole,2016-06-16,co
3292,shadman chayan,2016-06-16,rty
3293,chris neal,2016-06-16,now there s a ridiculous robot test that make it impossible to login even if you get it right  here s an easy version image1 a car  image2 a dog image3 a cabbage question which image be a vegetable  it s simple and effective
3294,a range gowda,2016-06-16,it be very very slow s!
3295,daniel heuser prestes,2016-06-16,just uninstal it  useless as it be at the moment
3296,madalina cordea,2016-06-16,all my connection diseared and cannot accept friends 
3297,mehmet kahraman,2016-06-16,you cannot opt out notification like birthday and work anniversaries 
3298,henry macharia,2016-06-16,good
3299,mallisetty madhusudhanarao,2016-06-16,
3300,selvaraj guru,2016-06-16,this s most useful in job search
3301,lawrence aleman,2016-06-16,not bad
3302,ana florescu,2016-06-16,high pricacy risk
3303,vijay shetty,2016-06-16,liked it
3304,andrew muchwa,2016-06-16,aircraft engineer airframe and powerplant
3305,himanshu kanojia,2016-06-16,very slow  this take month to update user that somebody actually text or send invite  pathetic  worst 
3306,nathan hingston,2016-06-16,nothing in the worked after update on s7  after reboot and relogin it seem to be ok
3307,john noble,2016-06-16,now i can t log into my account  i have be try to log in since yesterday from 8pm  u0026amp  i still can t log on  i have delete  u0026amp  reinstal this 5 time  u0026amp  nothing be hening  please fix immediately!!!
3308,chris brown,2016-06-16,love
3309,jurie van der watt,2016-06-16,cannot delete contacts!
3310,kostas drakonakis,2016-06-16,a must have for anyone!!!
3311,piange,2016-06-16,yellow submarine
3312,anacron allen,2016-06-16,i should be able to edit the annoying notification sound and vibrations  andor if these setting currently exist they should be easier to find and adjust  i can t have my device blooping and vibrate in the middle of meeting and i shouldn t have to silence my entire phone because of linked in  on the verge of uninstal this be basic practice come on guys 
3313,mani tyagi,2016-06-16,its vry heavy kindly make some which be not heavy as this hang the phone 
3314,pankaj patil,2016-06-16,ok
3315,dimanne dimanne,2016-06-16,now you be microsoft
3316,chad kancheya,2016-06-16,work well for me 
3317,mary oliver,2016-06-16,this keep me in touch with my network with few disruptions 
3318,andy kwak,2016-06-16,can t respond to invite from browser anymore as it just point me to this   be hard to navigate 
3319,no mach,2016-06-16,i like it
3320,lazri dwivedi,2016-06-16,a good platform for student and professional in commerce to make link with 
3321,mitashree kundekar,2016-06-16,the only on my mobile that hangs  the only disointment
3322,akshay panwar,2016-06-16,vry nice
3323,bhuiyan bhuiyan,2016-06-16,where r the short message that be before the invitation accept
3324,indar patil,2016-06-16,need improvement
3325,subalak nam,2016-06-16,tried couple of time to upload my profile image but to no extend 
3326,subramanyam gorti,2016-06-16,user friendly to maneuver 
3327,rehan ajmeri,2016-06-16,amazing fabulous
3328,thiago doherty garcia,2016-06-16,page stop loading and the different tab don t load content half of the time  i m uninstal and reinstalling  hopefully this do the trick 
3329,cyhawlter sword,2016-06-16,excellent
3330,ekramul ghani,2016-06-16,i like it
3331,shekhar suman,2016-06-16,awesome
3332,darren paul,2016-06-16,not sure how an can be the terrible
3333,naresh kumar sharma,2016-06-16,chang myself
3334,harpreet kaur,2016-06-16,i be nt able to sign in the though i knw my password n email be correct m able to login in a browser bt in its ask me again and again that i hav forget password really irritating
3335,shebin vins,2016-06-16,lication be good
3336,moideensha va,2016-06-16,this be very good and very useful to me  thank for these  
3337,j  roto,2016-06-16,i like the a lot and be enjoy connect with friend and colleague in a more professional online social setting  but let s be honest this be just facebook for business  wise i d like confirmation or control of what be send when connect with other via the one click to connect icon and this would be a 5   i d also like to boycott the sale to microsoft but life go on
3338,robert john,2016-06-16,annoying option come up to add everyone in my contact
3339,richard conley,2016-06-16,the suddenly stop working and say that my browser be not supported  i do not change any browser in my android device 
3340,sajid iqbal,2016-06-16,say i have wrong password and email combination 
3341,nana akufo,2016-06-16,very nice lication
3342,benjamin uzochukwu,2016-06-16,it give excellent visibility of research output
3343,amit singh,2016-06-16,good
3344,sohail sayyad,2016-06-16,it s fail to send the invitations 
3345,chinmaya patra,2016-06-16,fine
3346,tim woodcock,2016-06-16,if you deny access to contact it will not proceed 
3347,michael lewis,2016-06-16,good connection and business development from this lication
3348,steve mackenzie,2016-06-16,be a recruitment tool and nothing else  spam email and cold calls  complete waste of time
3349,aman chakrawarty,2016-06-16,yup
3350,carla rodrigues,2016-06-16,great
3351,eternaldarkness24766,2016-06-16,can login online but not with the   install uninstal and still will not work
3352,mohamed ali,2016-06-16,hang  u0026amp  slow brrrrrrrrrr
3353,jegan ramesh,2016-06-16,good
3354,ekom ebong,2016-06-16,when it come to exhibit talent its the best
3355,subhash negi,2016-06-16,gud
3356,annie tsan,2016-06-16,it s easy to use and interface be simple to navigate  only problem i ve run into so far be that whenever i select the causecategory of my volunteer work a different one be visible on the profile  for example if i select education while editing it environment will instead ear when i click do and view it on my profile 
3357,arnie yeung,2016-06-16,just keep ask me to verify that i m not a bot 
3358,nusrat haque,2016-06-16,good
3359,amro abdo,2016-06-16,thank
3360,george budol,2016-06-16,akhirnya
3361,cassie schleigh,2016-06-15,please fix this update  it keep say check connection which be fine when try to view post share or can t view endorsements  i be able to use all feature on my gs4 prior to the last 2 updates  i ll give it a 5 when it s fix thank you!
3362,navkendar singh,2016-06-15,new doesn t work
3363,travis mosbaugh,2016-06-15,new update break    robot face
3364,stuart jiang,2016-06-15,latest update doesn t allow log in and crash   disointing because it have be great for a while now 
3365,amphora creations,2016-06-15,say it can not make an account?
3366,nada kozman,2016-06-15,please fix! i can t even sign in
3367,o'niel mcleod,2016-06-15,latest update doesn t work  can t connect  thank microsoft  off to a good start 
3368,khumbulani limako,2016-06-15,since i install the latest update i can t connect nor login used my android phone  please fix this 
3369,mahlaba ledwaba,2016-06-15,i like it i like it
3370,amber mcduffe,2016-06-15,big bug in the newest update my news feed and notification don t load it just say sorry we re unable to load ______ right now
3371,jeff bechtel,2016-06-15,can t log in  same username and password for web work no dice on android  
3372,alicia campa,2016-06-15,super slow with messaging function and doesn t pop up when you receive a new message
3373,chris andrews,2016-06-15,message work everything else doesn t  really bad update 
3374,nick walkem,2016-06-15,cannot log in  receive invalid login notification even after change of password
3375,katrina d ,2016-06-15,i couldn t sign in to the with my password  i think maybe i just forget my password even though i have it save so i reset my password  go back to the and i still get the invalid error! how frustrating 
3376,mathew almodovar,2016-06-15,since update i be unable to sign in used same password  i even change it and it still doesn t sign in 
3377,gary patterson,2016-06-15,new update keep crashing!! have work brilliantly up until now  be now go to work on ms developer world where the user become the debugger! hope not
3378,hiderone7,2016-06-15,uninstal delete premium service unsubscribe all because of your poor quality and login problems  give up on  
3379,teresa hoyt,2016-06-15,i m pretty sure the latest update screw it up  i can t go on my profile i can t accept invitation request i can t even view messages  i try everything to fix it  i try restart my phone update the uninstal it and reinstalling  fix this!
3380,ryan houde,2016-06-15,doesn t load after most recent update
3381,ellinda corbisiero,2016-06-15,new update wont let me log in  crap!
3382,andrew bromley,2016-06-15,not work
3383,dan pinkerton,2016-06-15,just stop working and constantly say login be invalid 
3384,temple pate,2016-06-15,i will be remove myself from due to the recent purchase from microsoft  they be a company that i morally can not stand behind and it disoint me to know that a great lication like this have be grab by such a heinous company 
3385,shailesh kadadekar,2016-06-15,post update i cant login  please fix this asap 
3386,erly escu uy,2016-06-15,quite nice n gud too
3387,john ballard,2016-06-15,there seem to be no way to choose to sort the news feed to show most recent update as you can in the browser version  still a good  
3388,omar s,2016-06-15,test your update before roll them out! !
3389,george daws,2016-06-15,crap that win t allow login used stupid bloody picture
3390,bal singh,2016-06-15,yes that s right  that s why it s now useless  when will they ever learn? they screw up swiftkey too along with nokia  it s go to be litter with ad and cry office 365 begging 
3391,ck rai,2016-06-15,i love this    
3392,ajit lal,2016-06-15,great
3393,kedar kulkarni,2016-06-15,i update my profile add a new job experience then delete it  and yet person be liking it 
3394,saurabh mehta,2016-06-15,nice however plenty of scope for improvement be there specifically towards speed
3395,smart ali,2016-06-15,new update sucks cant even login in to   please fix this asap lose valuable time 
3396,p kumar constructions,2016-06-15,great
3397,sivaditya g,2016-06-15,will be hy to have an option to view certain page in browser  
3398,phuntsok topgyal,2016-06-15,this be best to keep you connect
3399,xaxme shah,2016-06-15,very much helpful but i need copy paste text option with mobile phone to kindly develpor think about it 
3400,salman khan,2016-06-15,superb
3401,suraj behera,2016-06-15,nice
3402,dinesh chavda,2016-06-15,this be very nice
3403,vikrant panchal,2016-06-15,i like to very nice
3404,sukhpreet khippal,2016-06-15,great lication
3405,f razmal,2016-06-15,after the update i try to log in but the system win t allow me state that my browser be not supported  please fix the issue relate to the update
3406,mani kandan,2016-06-15,i like veery much
3407,shankar nayar,2016-06-15,it s good
3408,wael kdouh,2016-06-15,install android laugh out loudlipop and now i can t even install anymore 
3409,anurag waghide,2016-06-15,love the color combination and everything on the site
3410,nayan katiya,2016-06-15,professional and excellent work  
3411,rohit kumar,2016-06-15,osum
3412,faraz khan,2016-06-15,no issue its the best
3413,stephanie heintzman,2016-06-15,can have better mobile friendly feature
3414,santosh chawla,2016-06-15,good
3415,chry alavaren,2016-06-15,amazing
3416,rafey iqbal rahman,2016-06-15,can t save image and sometimes the doesn t even work in the presence of strong connectivity 
3417,robert watts,2016-06-15,35 plus year in the architectural metal and glass business 
3418,krunal soni,2016-06-15,since i have be face problem while sign in as well
3419,viren kumar,2016-06-15,good
3420,harilal bhatti,2016-06-15,manager technical support
3421,varry rauni,2016-06-15,awsome
3422,anuj jaiswal,2016-06-15,advertised ki dukan
3423,femi ilori,2016-06-15,innovate
3424,chidy katlego,2016-06-15,love it
3425,sharon johnson,2016-06-15,easy to use very intuitive!
3426,frms xgq,2016-06-15,fight
3427,rishi khirbat,2016-06-15,superb
3428,asad hafeez yousufi,2016-06-15,error message looks like you re using a browser that s not supported   learn more about  
3429,sebastiao yoba,2016-06-15,very good
3430,joshua amboga,2016-06-15,mr joshua amboga
3431,hiren vaja,2016-06-15,its very useful
3432,vk v,2016-06-15,booklet type view not at all comfortable while read on my tab  there be no option to change viee eithrt  have stop used it on my tab
3433,denise thomason,2016-06-15,im really fed up with the pop up ask me to sync with my contacts! i don t want to sync with my contact and there s no option to say no! then when i close the pop up it shut down the entire ! it s very irritating and i m about to uninstall for that reason alone!
3434,kasim m,2016-06-15,great    a one stop shop for all your professional need
3435,pramod bhadauriya,2016-06-15,most amazing networking tools  used so far
3436,koundinya d,2016-06-15,very average ui be very good  but lack functionality  i want to open my group follow update read the article share and participate in disucussions  etc   very hard to do all these in the   not convenient at all
3437,ian fijolek,2016-06-15,keep auto redirect me to the play store when i try to view the website 
3438,asiyah ailanie,2016-06-15,
3439,naveen hastir,2016-06-15,for past 4 month i have not be able to send invite to connection and ot always give an error on my android phone  hope you person fox this 
3440,jurie van der watt,2016-06-15,cannot delete contacts!
3441,ritesh seth,2016-06-15,cant login into the   keep tell me its a browser issue   but i be used the and not any browser! fix it!
3442,sabak global,2016-06-15,sofor the winare qa automation engineer
3443,margie pruitt,2016-06-15,i love   all the interface need to perform the same functions 
3444,ankit sahu,2016-06-15,gud
3445,shafi a s,2016-06-15,unstable
3446,christopher vickers,2016-06-15,unless you re already connect in the industry you re in it can be a process as be everythingbut then connection and opportunity hen fast 
3447,santhosh kumar le dictateur,2016-06-15,after signing in only one answer   unexpected  u0026amp  try again
3448,bilal ebrahim,2016-06-15,hi to all
3449,irfan khan,2016-06-15,english translation be require for different language
3450,eslam ibrahem,2016-06-15,
3451,jerome p,2016-06-15,now i have to scroll both up down and left right  i might as well use a pc where i have a bigger monitor
3452,abrar shaikh,2016-06-15,best
3453,vinit patel,2016-06-15,like it
3454,desiree gladieux,2016-06-15,can t edit certain thing like skill from the mobile   and since can t keep your info safe every now and again they ll lock your account and send you an email say whoop we screw up again reset your password so you do that  but the mobile won t progress all the way thru the security check so you ll have to delete the and start over  fun times  fix it 
3455,shawn loftin,2016-06-15,if you like do captcha s and reset your password this be the for you  i try to login and be prompt to reset my password so i did  then it say just a quick security check  i check i be not a robot and then answer the question about five time before i realize the be on an infinite loop and it do this every time i restart the and my phone  this be a great way to waste time that can have be productive  thank for make entry to my account through your impossible and frustrating  congratulation to the team  i really do hate your   this must have be your goal 
3456,jessica purple house unlimited investigations llc,2016-06-15,this be a great product
3457,fayaz ahmed,2016-06-15,yes it be good
3458,chetan patel,2016-06-15,supervisor
3459,renier chamizo,2016-06-15,muy bueno!!!
3460,isaac ibeabuchi,2016-06-15,good
3461,sani fagge,2016-06-15,good  
3462,debi worden,2016-06-15,lmt
3463,jeremiah logan,2016-06-15,every update i try this again hope it have get better  and every time i be disointed  interface still suck crash on a multitude of different device in general the user experience be horrible 
3464,oluwole olabode,2016-06-15,the service have enable me to connect with friend around the world
3465,aloka shashinath,2016-06-15,please fix this issue
3466,redoan akond sumon,2016-06-15,owsome
3467,h n  ranga swamy,2016-06-15,great experience to link with 
3468,andrew stoneking,2016-06-15,so the update no longer works   it make you go through a robot check which once your finally finish that then the screen go white and you never connect to the   yet they wonder why their usership be down what a joke  
3469,david scott,2016-06-15,delta intel
3470,ila jeanne foerch,2016-06-14,just stay home  travele with the best man my husband!!
3471,lukman budiansyah,2016-06-14,thank you
3472,kemi ajayi,2016-06-14,fantastic!
3473,manish shah,2016-06-14,be very helpful and be easier to use compare to other s so keep up the good work
3474,roger overbeck,2016-06-14,this ap p be terrible  i try to log on and it come up with stupid question like i be not a robot and it go on  i be tired of go around in circles  i plan to uninstall soon 
3475,trevor lowe,2016-06-14,material design be execute poorly here a good look will make me want to use it more!
3476,travis kulyas,2016-06-14,can t get past the i m not a robot  after the tenth try of selecting picture i finally get it right and then i have to do it again and failed  don t wait your time 
3477,md sadiq,2016-06-14,v v v useful i love it
3478,dennis santos,2016-06-14,interface be ok but it keep crash on my lg g4 
3479,heru setyo,2016-06-14,too many unclear security question to login   even i answer correctly   i can t log in  
3480,yoseph tavianus andreas,2016-06-14,ok
3481,vinayagam b,2016-06-14,this is the best opportunity to learn and enhance mentel caliber       thanks regards
3482,gopal dhiman,2016-06-14,good but not bad
3483,nagaraj mirji,2016-06-14,mirji
3484,robert kuruwe,2016-06-14,a must for everyone
3485,syaiful fadillah,2016-06-14,i don t know why now i can t send reply for my inbox messageit keep say tap to retry  send fail pls fix iti have an important message to reply 
3486,adnan khan,2016-06-14,which nation have respect of woman they can win here and hereafter
3487,pedro cestari,2016-06-14,be a nice  
3488,prem sarkar,2016-06-14,awesome
3489,ted buckner,2016-06-14,at first it would not accept my valid password so i click forgot password and reset it to the same password  then it would not accept it until about 3 tries  then i be stick on an eternal captcha loop  it would not end so i uninstalled  let me know when you get this crap fixed 
3490,jitesh aggarwal,2016-06-14,good
3491,ilyas mohammed,2016-06-14,professional connectivity and update information trail 
3492,savannah lloyd,2016-06-14,even if i reset the password the rarely ever accept the new password i just created  the website on my desktop do not have the same problem
3493,keith vick,2016-06-14,management
3494,koool ncam,2016-06-14,this be very nice
3495,rajesh singh,2016-06-14,professional
3496,sreejit sreeram,2016-06-14,nice improved
3497,sunil biradar,2016-06-14,business
3498,neeta yogi,2016-06-14,it s so kool and easy to use
3499,luis ramos,2016-06-14,to everyone
3500,effi ovadia,2016-06-14,i hope that it will improve furthermore now that it buy by microsoft
3501,julia putnina,2016-06-14,since there be an update i haven t be able to even open the   be the fix come out soon? this be very frustrating that i cannot use on the go 
3502,hazel danai,2016-06-14,it s fine
3503,                               ,2016-06-14,5 star for become a microsoft product 
3504,samir alsadoon,2016-06-14,green tea
3505,promise egekwu,2016-06-14,every business professional need this
3506,sahu singh,2016-06-14,the best
3507,paul son,2016-06-14,nice
3508,aditya pathak,2016-06-14,good
3509,ryno lihongeni,2016-06-14,love it too
3510,white essien,2016-06-14,good work on security more 
3511,shibasis namdev,2016-06-14,wonder connection
3512,leon burger,2016-06-14,be more than wake up
3513,lboss studio,2016-06-14,love it
3514,mohamed rizwan,2016-06-14,awesome
3515,rabina g  rasaily,2016-06-14,cool
3516,tvs narayan,2016-06-14,fast n good
3517,ted smith orr,2016-06-14,very very slow to connect
