,Author,Date,body,Class
3175,ari dewanti,2016-06-26,good,
3176,akbar khan,2016-06-26,nice,
3177,chiku budokai,2016-06-26,tmww,
3178,richard a,2016-06-26,be used this for month and now my phone isn t compatible? say update but doesn t give me the option to do so ,
3179,kate tarog,2016-06-26,why just 3gb now?,
3180,zaldy banawa,2016-06-26,tr3s,
3181,max taufik,2016-06-26,do not work f k off waste of time,
3182,shivotusha kumar,2016-06-26,this be very use full s,
3183,jan silverman,2016-06-26,have nothing but trouble try to print wireless and it s probably this plug in  tablet bring up correct printer then it disears  then i have to select correct printer again  then allow me to select print  then printer freeze   then i have to tell it to restart   finally it ll print ,1.0
3184,allison coniam,2016-06-26,this be take up all my storage and i cant delete it,1.0
3185,jozef franz,2016-06-26,excellent!,
3186,devend sahu,2016-06-26,fj lag i,1.0
3187,moshe stern,2016-06-26,easy to use,
3188,jafor khan,2016-06-26,photo breakup ostir,
3189,michael gio ortiz,2016-06-26,this be model to all online storage lication,
3190,fred beels,2016-06-25,the purpose of the change log be to state what you change so person can make an informed decision if they want to update ,1.0
3191,yousry younan,2016-06-25,v good,
3192,steve waldron,2016-06-25,shame it win t upload my  3gp file and the web interface be awful do any sort of file maintenance be painful  the android be fine though ,
3193,youngin cain,2016-06-25,a1,
3194,j r sidoti,2016-06-25,always there when i need to retrieve photo when have ussues  keep oldest photo and be reliable!,1.0
3195,alan gore,2016-06-25,if you don t get there terra byte service they don t allow you to upload anything i want to talk to a person they send a useless link say that be a much better way to solve my issue well it s not a person be always better so i be delete this p o s ,1.0
3196,jay pinnock,2016-06-25,great ,
3197,rene paige,2016-06-25,its ok 4 now,
3198,jamil k,2016-06-25,very nice,
3199,hammad bin idrees,2016-06-25,kindly allow user to upload picture from specific folder on dropxbox i e  there be an option where all picture which will be take from camera can be automatically upload on same as if there be any other picture available in gallery it should be upload on automatically or user can select whether they want to upload all gallery picture or not  this option be available in last release in which all the picture be upload automatically but now we need to upload it manually ,1.0
3200,nathaniel harris,2016-06-25,i can add file easily and edit in  ,
3201,noman nazir,2016-06-25,awsome,
3202,korntez,2016-06-25,they need to have this be transferable to a sd card ,1.0
3203,matheus coelho,2016-06-25,i like it very much the only problem that i see be that i can t upload several file from the gallery or file manager i have to open the and select the file that i want to upload ,
3204,brian de dechristopher,2016-06-25,i have used it before but forget the log in info and it s really difficult to recover the account ,1.0
3205,yadira n jorge nambo,2016-06-25,ghost h,
3206,niket maheta,2016-06-25,i have uploadedd all my photo which i need and no have space in phone if i need i will open and save this and there be low data use of it,1.0
3207,albert hammonds,2016-06-25,it hold information,2.0
3208,dale thurber,2016-06-25,wonderful   word great!,
3209,t  hs    'z     h    ,2016-06-25,gd,
3210,melvin childs,2016-06-25,to have a lot of place s,
3211,benita de leon,2016-06-25,memory,
3212,shwe war,2016-06-25,for an older version,
3213,dhirendra uikey,2016-06-25,superb,
3214,sam olivera,2016-06-25,good but all saved sms stuff doesn t look right,
3215,vishal trivedi,2016-06-25,no need to worry about carry pendrive!,
3216,banzubaze jean claude,2016-06-25,good for work,
3217,jaylon prince,2016-06-25,cool,
3218,surendra kumar,2016-06-25,very fine,
3219,jeffrey dowd,2016-06-25,hey man,
3220,nguye kaladokubo,2016-06-25,good,
3221,grace johnson,2016-06-25,i love this at first glance it seem dumb but it s really really useful for my vacation or just picture that be special to me,
3222,samuel oluwatosin,2016-06-25,great,
3223,mona singh,2016-06-25,good aap,
3224,kewdie pie,2016-06-25,,
3225,aleks k  shaw,2016-06-25,download at your own risk!!! there ears to be a virus attach to this andor   my phone lg g2 be work perfectly fine until i download both these s  the second i do i start get pop up error message unfortunately the process android acore process have stopped  paraphrase this be insidious  don t download! this be not spam ,1.0
3226,harsh vardhan,2016-06-25,i like it,
3227,                   ,2016-06-25,the top         ,
3228,santosh kewat,2016-06-25,dear sir madam there be bug in face problem since last update on tap it show there be problem with the lication please report or cancel ,1.0
3229,bappa das,2016-06-25,good,
3230,rajat marwah,2016-06-25,can t give 0 star,1.0
3231,teguh adam prayoga,2016-06-25,great s,
3232,jiffany kamlani,2016-06-25,    ,
3233,rambhakt kushwaha,2016-06-25,good,
3234,karim karru,2016-06-25,superb,
3235,carlos luis abarca,2016-06-25,beautiful,
3236,takuya ivan,2016-06-25,but i hate it,
3237,bhagirath bishnoi jakhar jodhpur,2016-06-25,very good,
3238,mohamed dhubow,2016-06-25,ok,
3239,solomon wise,2016-06-25,some how cool,
3240,robin williams,2016-06-25,,
3241,bernardo anastacio domingo,2016-06-25,frame,
3242,shankara palla,2016-06-25,    ,
3243,jitesh prajapati,2016-06-25,truly good,
3244,hayley williams,2016-06-25,keep all my file safe can access them from anywhere,
3245,judah hubbard,2016-06-25,hubb0,
3246,siddhant bajpai,2016-06-25,why after update it the be not open rep soon my pic will go other wise,
3247,charles hood,2016-06-25,be force to update   unless it will be close,1.0
3248,aravindhakshan m p aravindhakshan m p,2016-06-25,very useful,
3249,rogelio codizal,2016-06-25,im rich im rich hahahahah! there be 300 897 person download my apk map in mcpe redstone 0 15 1 thanksss!!!,
3250,palak singla,2016-06-25,nice,
3251,emmanuel emeka eriken,2016-06-25,take forever to load videos ,1.0
3252,zazueta sandoval,2016-06-25,perfect,
3253,lameck zulu,2016-06-25,amazing,
3254,tawanna johnson,2016-06-25,love it,
3255,muhammad nur ihsan,2016-06-25,simple and large,
3256,curly virgo,2016-06-25,i just get an email stay that i would have to buy drop box pro to get all of my photo back up? isn t that the point of drop box? putt all of your photo in one place and not have to worry about picture deletions? if that the case i should just buy a flash drive and do it that way  shake my head  will be uninstal soon ,
3257,myanne rondilla,2016-06-25,i can store my memory here that only me will know ,
3258,praveen reddy,2016-06-25,easy to use,
3259,amabilia lopez,2016-06-25,love it,
3260,sigit aris setiawan,2016-06-25,ranjau,
3261,md abdur raihan,2016-06-25,fantastic data storage service,
3262,john a ,2016-06-25,best storage for the money,
3263,austine jang,2016-06-25,cheeerss,
3264,jason gratton,2016-06-25,awsome,
3265,farhan ali,2016-06-25,useful,
3266,tammineni sunil,2016-06-25,this be really awesome,
3267,shelleybear1984,2016-06-25,why do my what image only go to text file now? wasn t a problem before  i pay to have store my file so disointed i can t use it nothing new just what i have a few week back!,1.0
3268,debi long,2016-06-25,awesome  ,
3269,kabir khan,2016-06-25,best qpp i love thia,
3270,escada lamai,2016-06-25,love it,
3271,saleem abdhulmuhusin,2016-06-25,7,
3272,dhaval ghelani,2016-06-25,good,
3273,navdeep kumar,2016-06-25,best way to save your datum,
3274,md jihadul islam,2016-06-25,extra secure,
3275,bryan brennan,2016-06-25,my own mail box!,
3276,graham egerton,2016-06-25,do it and do it for me,
3277,anthony grant,2016-06-25,line operator,1.0
3278,sharezan mokhtar,2016-06-25,biasa aja,
3279,ali najafi,2016-06-25,,
3280,same haddad same haddad,2016-06-25,good,
3281,roberto ar  valo,2016-06-24,work fine and it s very useful but subscription for personal use be too expensive ,
3282,ken markie,2016-06-24,easy to use and great for file sharing,
3283,lukas obrien,2016-06-24,i uninstalled  every time i attempt to upload the crashed ,1.0
3284,iorangi vii,2016-06-24,just want to share on messenger and now i have to download another   gosh i miss the old version  it be all in 1 ,
3285,rupesh negi,2016-06-24,best,
3286,jessica williams,2016-06-24,very disoint that the photo i edit be return to their original brightness and color when i save or export them anywhere on my phone ,1.0
3287,nick barnum,2016-06-24,it be do stupid it be complicate,
3288,bethany smith,2016-06-24,i love that this allow me to save the picture to my phone without eliminate megapixel and degrading the photo  for a photographer like myself that s critical ,
3289,fatiya sani,2016-06-24,thank,
3290,june voss,2016-06-24,drop box         ,
3291,mark mortensen,2016-06-24,work for everything  nothing better to know you have saved it! !!,
3292,chinthana                   ,2016-06-24,storage be too small,
3293,hazem mohamed,2016-06-24,awesome it s more the awesome!!! i download apks photo and more i download mcpe 0 15 0apk thank  inc,
3294,pawan kumar,2016-06-24,again it much better,
3295,joanne hunter,2016-06-24,db only give 2gb of initial storage everyone else be at least 10 and the one file i store here can no longer be share completely only the first 15 minute of 151  hate it ,
3296,keith d,2016-06-24,where do the ability to quickly easily create a link to an individual file go? now its buried under the share menu which make the process slower and less handy  return it and i ll rate it the full 5 star again,
3297,husain sudad,2016-06-24,great,
3298,                 ,2016-06-24,n,
3299,rohit raj,2016-06-24,useful,
3300,meysam nazari,2016-06-24,,
3301,syed wali,2016-06-24,privacy policy,1.0
3302,umang sharma,2016-06-24,good for have fun,
3303,mohd rayyy cik biey,2016-06-24,ok la,
3304,andry afriyanto,2016-06-24,simple,
3305,sooraj venkateswaran,2016-06-24,very usefull  those who want to store any doc or any file this be the best  ,
3306,karen smith,2016-06-24,awesome,
3307,mohd zain ansari,2016-06-24,easy to use and very useful share anytime,
3308,elemental ninja _ ,2016-06-24,its a good use full     ,
3309,mahnaz nikjo,2016-06-24,,
3310,                   ,2016-06-24,,
3311,gd trickshotx214,2016-06-24,it s a very useful if you want to upload file easily  i be used it to upload a geometry dash texture pack ,
3312,mark m,2016-06-24,in general with phone and computer these day there be always a high risk that an which ears to be work well will cease to work well when it be updated  right now this seem to be work well so i intend to leave it alone ,
3313,vishnu jangir,2016-06-24,hy,
3314,johnny,2016-06-24,highly recommend,
3315,delitea delitea,2016-06-24,the maximum file to choose to upload each time be only 10!!! why???,
3316,muhammad sarwar,2016-06-24,you win t loose your memory,1.0
3317,ankur singh,2016-06-24,liked it,
3318,christophere pangan,2016-06-24,very good,
3319,dominique scherer,2016-06-24,have it for a year one two then you get hit for a bill it you cannot use extra promotion when you have used it once rip off merchant get out while you can  a big bill be come your way ,
3320,lawliet dragon,2016-06-24,because very simple and secure,
3321,james lee laster,2016-06-24,i need mobile this be a phone,1.0
3322,jochem van den berge,2016-06-24,i like the company and the concept  i choose over other provider for the multus platform support include linux   while not offer a native casting support for video in previous version it be possible to stream video straight from to my chromecast with the help of another like localcast   unfortunately recently it doesn t seem to allow for that anymore force me to download the video file first and then cast it from my phone  annoying and defeat the purpose  please fix!,1.0
3323,sharon yunita,2016-06-24,good lahh  ,
3324,danny hurley,2016-06-24,sync between multiple phone tablet and computer without a problem  very well integrate and very stable ,1.0
3325,berenise cortes sanchez,2016-06-24,awesome,
3326,nessa stringer,2016-06-24,this sucks  god forbid that you want to upload a download document  i be force to use my computer just to upload the file i needed  worthless waste of my time ,1.0
3327,dave edel,2016-06-24,useful  u0026amp  taste great,
3328,amit kumar,2016-06-24,excellent,
3329,barry parker,2016-06-24,do not use life lock alert me say this site will expose personal info ,
3330,kathleen bucu,2016-06-24,let s see if it help alot ,
3331,nitish kumar,2016-06-24,love it,
3332,jeremy marucot,2016-06-24,the update in the mobile ui mainly the over bloated share feature and inability to download full folder have force me to switch to both google drive and one drive  rip  ,1.0
3333,amir panjwani,2016-06-24,neither would it uninstall nor it would release memory on the device  besides if it be to occupy memory on my device then what really be the cloud offering memory all about?,
3334,tal lebhar,2016-06-24,this make so many change and i don t like it at all! it used to be amazing until they take out all the great feature like gigabyte and now i have to manually upload picture to my computer  i can decide for myslef if i need more space or not  i don t want to have to go through complication now and connect it to computer  some person don t have one what be they go to do?,1.0
3335,navez nheng,2016-06-24,nice storage,
3336,ckhari hill,2016-06-24,mine,
3337,rhona small,2016-06-24,still problem to open my files  i store a lot of information that j must copy  u0026amp  paste to my facebook page i manage  when copy it say copy to clipboard but when paste   nothing!!!! blank !!! why??? this be a very big downgrading when i first start to use there be no issue but it be get worst and worst   look for another similar on the moment  want to get rid of !,
3338,james kearne,2016-06-24,very useful,
3339,ladesjanay labee,2016-06-24,help me save all my photo and video in a notice,1.0
3340,kevin warren,2016-06-24,easy to use,
3341,dedi chandra,2016-06-24,good for work,
3342,karen sutter spaulding,2016-06-24,wonderful way to move your stuff around without worry about l u0026amp lt ose anything  at your fingertip but not clutter up your memory!,
3343,lithinkumar s kumar,2016-06-24,easy way to back up file asnd share,
3344,daud abbas abbasi,2016-06-24,i love it i keep my potos from 5 year in and i do nt care obout my poto when i lose my cellphon or memory card,
3345,marcus hutton,2016-06-24,doesn t allow enough space  then want to charge for more space ,
3346,shezad abdullah,2016-06-24,free storage should be increase,
3347,matt challenor,2016-06-24,excellent work great but the storage we earn have an expiry and consequently it s about to expire,
3348,indra wahyudhi,2016-06-24,i love this i can drop my file n i can access it from anyother device an from anywhere ,
3349,shoaib arif,2016-06-24,great,
3350,j c  mostacilla,2016-06-23,the use a lot memory on my phone  why i can t move the to the external storage? i can t download the picture to my phone  place help,1.0
3351,shareek prophet,2016-06-23,i only used this for a hack so i don t know how it is i guess it s ok    ,1.0
3352,ashok gatla,2016-06-23,i need more gp please,2.0
3353,rodrigo salazar,2016-06-23,thank goodness for this lication i ve lose my phone 2x and thought i ve lose all my picture too  but rest assure i have a back up here,
3354,selena lindsey,2016-06-23,save it with ease and retrieve from anywhere!,
3355,hammad bin idrees,2016-06-23,since last 2 3 week my picture be not upload on my account or in other word have stop sync the phone photo on cloud ,1.0
3356,aditya f setiawan,2016-06-23,awesome,
3357,harris mustipher,2016-06-23,mail from g mail,
3358,raul castaneda,2016-06-23,boooooooooo boooooooooooooooing booooooing booooooooooing boooooooooing ,
3359,kathryn mcmahon,2016-06-23,very useful i forget i even have it! i get an email reminder last night about lack of use and a warning b4 they deactivate,
3360,roseann2112 cin  lli,2016-06-23,                         recommend and roved by us  cost us    u0026amp  still need this dunk  ,
3361,leslie rich,2016-06-23,music an all,
3362,guillermo segura,2016-06-23,great but video don t play ,1.0
3363,michael mann,2016-06-23,love love,
3364,grace capulong,2016-06-23,for some reason i can t upload more than a few photo at a time but i used to be able to upload my whole folder in one go? also on my daughter one it take age to upload a photo and forever to upload a video? tip and solution please ,
3365,samantha alex,2016-06-23,helps me get my edits from my laptop to my phone to post     ,
3366,jireh tan,2016-06-23,it always open the last access section recent files photo so for person who don t like recent or photo don t use them and the won t start in those sections ,1.0
3367,ajeet rai,2016-06-23,rai,
3368,raghu chinta,2016-06-23,raghu,
3369,benjamin carver,2016-06-23,when upload video take by mobile awesome just lame video give it so much trouble,
3370,abdulrahman altahan,2016-06-23,easy and handy,
3371,destiny deforge,2016-06-23,useful but glitch allot and doesn t show edit do to document between devices ,1.0
3372,carla finley,2016-06-23,simple easy and fast  thank for a useful product ,
3373,deborah doris fell,2016-06-23,i hope you give the person who don t purchase also some extra space!,
3374,vindhuja e,2016-06-23,it be very useful,
3375,patricia macleod,2016-06-23,thank you,
3376,smallish cat28,2016-06-23,hard and impossible to use say permanent failure for no reason and the more space on my phone i free up the more it day insufficient space and can t upload to edit length of video to long,1.0
3377,theodore rodrigues,2016-06-23,thank you for this great service,
3378,dante arturo arroyo l  pez,2016-06-23,make my my fle accessible in different platforms  great,
3379,ahmed tanweer,2016-06-23,the best,
3380,mimi muir,2016-06-23,work perfectly,
3381,mark anthony divina,2016-06-23,macmac2 11,
3382,nitin shejwal,2016-06-23,great,
3383,tariqul islam masum,2016-06-23,good,
3384,chris g,2016-06-23,i love especially the camera auto upload feature  now of course you have to buy yearly to use this which be crap  i get way less space for not pay the yearly fee but to get more person to pay they be gonna start remove features ,
3385,saad ansari,2016-06-23,offline mode is too slow    ,1.0
3386,sumit bindal,2016-06-23,when it get update i can not upload anything in my drop box account,1.0
3387,anthony hilman,2016-06-23,great   just awesome,
3388,hugo antonio,2016-06-23,you should try,1.0
3389,ankit patel,2016-06-23,it be very useful s we can easily share our document and file good one,
3390,nghi  a nguy    n th    ,2016-06-23,try for couple of day from vietnam,1.0
3391,michelle gross,2016-06-23,greatl way to share and save music and photos!,
3392,vadim granovsky,2016-06-23,camera upload doesn t work since march 2016,1.0
3393,sky box,2016-06-23,like your own little cloud to back item up from your phone or pc  thank  ,
3394,gulalay gull,2016-06-23,gull,
3395,helmi mie,2016-06-23,cantik,
3396,owen nanthavongsa,2016-06-23,good,
3397,samadhan thite,2016-06-23,nice,
3398,rahul rajan,2016-06-23,can t find in drawer  everytime i want to access i get to open google store n access via it,1.0
3399,rhoda adeyemo,2016-06-23,it be not useful,
3400,marlon harris,2016-06-23,mechanical,
3401,jane badu appiah,2016-06-23,great !,
3402,tina demi,2016-06-23,wow,
3403,mariah bacayo,2016-06-23,i really enjoy this!because i may play any game,
3404,baah yeboah,2016-06-23,love it  thanks ,
3405,kalid ali,2016-06-23,,
3406,agabi ernest,2016-06-23,love all,
3407,bharat thakur,2016-06-23,i hd vry good experiance of itloving itbut only 2 gb be not enough ,
3408,nyi nyi,2016-06-23,so good,
3409,rey david moreno,2016-06-23,i love it,
3410,matthew ho,2016-06-23,this used to be a great that be as convenient as can be but now it be clunky  the new share feature be bad and now it be not possible to view document through that your phone would otherwise not be able to  this be especially frustrate when you have a phone that have most of its internal memory take up by its os requirements  please fix this to return to a 5 star !,1.0
3411,yerriswamy bellary,2016-06-23,super,
3412,roger warburton,2016-06-23,pity that the data limit be reduce,1.0
3413,mike rodriquez,2016-06-23,this be a very helpful to have   they provide great service and support to your needs  it truly be the best way to store  ,
3414,k mohammed ghouse,2016-06-23,it have good feature but bulk uploading be cause a problem when i try to upload my all file mark in my file manager and share it to add to drop box   i doesnt uploading it but give a warn  i again try it from to upload many files  but it be get slow and i have add file one by one  it be horribe and time consuming please fix this!,1.0
3415,salehe gomroki,2016-06-23,,
3416,parthiban nagappan,2016-06-23,superb,
3417,emmanuel bukroh,2016-06-23,fine,
3418,anthony ceravolo,2016-06-23,after so many photo you be ask to pay for the serviceterrible,1.0
3419,chirag patel,2016-06-23,very decent help you to manage your important stuff,
3420,mohammed hwamel,2016-06-23,nice lication,
3421,tarun patel,2016-06-23,drop box be always satisfy me,
3422,botchway aniewu,2016-06-23,now i can scan my      using !,2.0
3423,bud downs,2016-06-23,how do you get this,
3424,vanakayalapati harikrishna,2016-06-23,i like it,
3425,ghene mayor,2016-06-23,ain t bad ,
3426,abaas 8186,2016-06-23,,
3427,rezaul hossain,2016-06-23,fhu,
3428,khuram shaikh,2016-06-23,good job,
3429,girltwirl03 03,2016-06-23,love this it so easy to transport video to my computer after i ve finished recording,
3430,lu soe,2016-06-23,very good,
3431,nizam uddin,2016-06-23,excellent,
3432,mickey ashley,2016-06-23,freefreefree,
3433,rta pachuau,2016-06-23,cant even access the video n pic that r already upload used lot of data  the video n pic still need to be stream like video on the net that r access for the first time  and export video to device be too difficult  u need like super top speed internet for export big files ,1.0
3434,naura sophie,2016-06-23,well uhhmm,
3435,stacy d neville,2016-06-23,love this,
3436,kevin mcdade,2016-06-23,4 star,
3437,ubm india,2016-06-23,5 star,
3438,nathan holmes,2016-06-23,i don t want on my phone yet it don t let me delete it  sorry but i think it be my phone if i don t want something don t force it on me 1 star because i can t give none,1.0
3439,jayniece manning,2016-06-23,easy to use,
3440,kevin montgomery,2016-06-23,what hen to the option to share the link? galaxy s6 edge ,
3441,ezzat el masry,2016-06-23,love it,
3442,kathy lake,2016-06-23,very unhy that i save a document to and be unable to retrieve the document as i have no signal nor wifi where i be at when i need that document  would have be better off take a screen print of my document and used that instead!!,1.0
3443,kath neverka,2016-06-23,let me use my datum and read my e book whereever i be,1.0
3444,aj zato,2016-06-23,how be i suppose to know,
3445,husam lattakiaa,2016-06-23,very benefetial,
3446,kylie pluckrose,2016-06-22,work really well  i use it on my laptop at work and on my phone at home ,1.0
3447,reza goolbaba,2016-06-22,,
3448,angel 0808,2016-06-22,if you want to put all your picture there and then one day find it gone  then when u call customer service to get it back they want to charge you 100 dollars  then be grate! but i pass and will never use this again  shake my head,
3449,george ochieng,2016-06-22,great stuff,
3450,david robles,2016-06-22,i m very hy with   i use it constantly,
3451,kemal ayalew,2016-06-22,ilike this,
3452,mohammadi chasmawala,2016-06-22,i m used since many years  change mobile n pc  have be most useful thank to your team !,
3453,shahzibkhattak1122 khattak,2016-06-22,nice aaps,
3454,dominic jalandoni,2016-06-22,it corrupt all my files!!!f u guy,
3455,dwayne bickford,2016-06-22,use it daily,
3456,kurt fitzner,2016-06-22,be a good service and their be reasonable  however they never explain why the be be updated  no one should ever install an update they don t understand  this be bad store behaviour ,
3457,knight fighter,2016-06-22,it s great  i like being able to download my documents then saving them to my and opening them with whatever viewer i ve got that s compatible  anywhere i m at whether home or in class  the only beef i would have is being able to delete old documents all at the same time instead of deleting them one by one cause that gets royally annoying after awhile  4 5 stars until that gets fixed  keep it up guys     ,1.0
3458,steven gates,2016-06-22,awesome,
3459,quenton thomas,2016-06-22,great ! the integrate mp3 player be awesome i wish i can figure out how to download them to my device,
3460,sandi bahtic,2016-06-22,no long can set it as default,2.0
3461,mitali sabnam,2016-06-22,its ok,
3462,mark blankenship,2016-06-22,good,
3463,vaszola weeks,2016-06-22,retire,
3464,sagar saab,2016-06-22,very interesting and simple use,
3465,nilton braga,2016-06-22,please add this feature  goggle photo have it and it s extremely useful specially for smartphone photo  ,
3466,ashley julian,2016-06-22,its maybe more like i don t know _ _ _ _ _ _ _,
3467,akshay nehare,2016-06-22,thank,
3468,richard contreras,2016-06-22,much better than any stock gallery,
3469,manuel mayne,2016-06-22,ok,
3470,joe gaudio,2016-06-22,great for store and transfer all my datum for some project im work on!,
3471,edrian jay rapisora,2016-06-22,eja,
3472,eduardo angeles,2016-06-22,a big f u to from everyone it the play store that used android ,
3473,robert a  starr,2016-06-22,best,
3474,cary walker,2016-06-22,awsome,
3475,nor aziana aliteh,2016-06-22,i have be used for 4 year and it help me to keep in touch with my document and work wherever i go  sync across all device both le android and pc  i be excite for the new document scanning to be update for android  i don t have to use different s just use directly!,1.0
3476,christian rash,2016-06-22,my stuff win t upload,1.0
3477,narender phour,2016-06-22,its a usefull and very important   its never let me go  when i have lose my phone and every pic and other documents   its help me even after 1 year to get everything  after a very horrible and tragedy one year  it give me a heartily touch   thnx buddy,
3478,rony kumar,2016-06-22,nice s easy to uploading  everything   ching to password plz plz plz  help,
3479,james davies,2016-06-22,update recently and find it have delete all my photos  not good ,1.0
3480,andy latham,2016-06-22,not good,
3481,nishan singh,2016-06-22,good for cloud storage ,
3482,joss freeman,2016-06-22,good!,
3483,rika steenkamp,2016-06-22,can t handle volume s of pictures ,1.0
3484,seven oceans,2016-06-22,ok,
3485,ash jay,2016-06-22,screw force s that we can t uninstall,1.0
3486,martin sargent,2016-06-22,martin,
3487,akinyemi akinsuru adegoke,2016-06-22,excellent,
3488,satyawan dongre,2016-06-22,excellent,
3489,heba shilbayeh,2016-06-22,waswen,
3490,paul ndiki,2016-06-22,        ,
3491,kirxee de rams,2016-06-22,nice,
3492,moustafa karsoum,2016-06-22,,
3493,sahan abeysekara,2016-06-22,awsm,
3494,rebeca munoz,2016-06-22,it have abel s leaked song,
3495,denyse sigler loe,2016-06-22,have additional document extra which tremendously help our business,
3496,devender kumar,2016-06-22,great for stor important document,
3497,jaqui diaz,2016-06-22,jaqui,
3498,ashwani singh,2016-06-22,look all other cloud like one drive google drive box etc give an space of 15 gb free storage  what be so great about you that you don t provide more than 2 5 gb ,
3499,zoya malik,2016-06-22,i love this thnx dp,
3500,sarath saroos,2016-06-22,offline file can be access only when internet be on  even after syncronising ,1.0
3501,privatus bamuhiga,2016-06-22,its a nice program where you can keep datum safe,
3502,rajesh macwan,2016-06-22,good,
3503,david ontheroad,2016-06-22,good,
3504,shane stubbs,2016-06-22,i have video on my drop box and cant save them to my gallery what that about?!,1.0
3505,don bressler,2016-06-22,work on every one of my platform certainly make thing easier,
3506,ying chen,2016-06-22,unable to upload on slow connection it work just fine before ,1.0
3507,mysty schallock,2016-06-22,come pre install on my phone because of a deal with samsung drop box be no longer honor and i can t remove it soni try used it the free amount of datum be useless to get more you have to pay 10 buck a month or give them access to all your contact everyone you invite give you more space scam to get them more business  it be confuse and hard to use i couldn t cancel an upload once it be start in short pain in the butt waste of my time  oh and no easy to find way to delete your account either,1.0
3508,carlos lujan,2016-06-22,i can always go back and check out my picture and doc ,1.0
3509,abdullah sajjad,2016-06-22,how can i recover my password,1.0
3510,james murray,2016-06-22,fast secure  and easy to use make this 5 out of 5,
3511,vickie goss,2016-06-21,i coordinate the service with my laptop and be able to update document on either device  very useful for someone on the go!,1.0
3512,tosif asad,2016-06-21,it s a nice for cloud storage and i can see and do change from both pc and mobile device,
3513,name is not important,2016-06-21,good lication          ,
3514,mokaddes litu,2016-06-21,this be great!,
3515,hkmv9,2016-06-21,recent change show a hellbent determination to turn for the worse  sharing image into well that s gone  but ah  you can still add image through can you? well only from the default image gallery  if you re used another gallery you ll only be able to upload a single photo at a time i have several gbs of photo devs  i m not gonna pay for something like that   please return the share option  please ,1.0
3516,john vargas,2016-06-21,ok,
3517,donald schnaidt,2016-06-21,what a useless be suppose to have unlimited storage bull____! i up load some photo to it and it wouldn t even take them all  unlimited storage yea right  all it be be a waste of storage space on your phone or computer ,1.0
3518,bob lloyd,2016-06-21,awesome,
3519,paula reynolds,2016-06-21,very good,
3520,mohamed hamdy,2016-06-21,not bad,
3521,naelatul farichaa,2016-06-21,sebenernya ini buat apa sih? a bingung v,
3522,richard taliunas,2016-06-21,only give three star because they re horribly lazy with their what s new information and don t actually tell us anything that s new  give us real information instead of just generic bs ,1.0
3523,khinmg myint,2016-06-21,very good,
3524,kaywan abdullah,2016-06-21,i just love this i have used this for more then 4 year and it save all my old picture on it,
3525,claire lowe,2016-06-21,used for a good few years  be useful ,
3526,sandy chisler,2016-06-21,love it  so smooth,
3527,the baddest brad,2016-06-21,it do thing,
3528,lynsay birch,2016-06-21,love this easy to use and access on any device and desktop  backup of image document videos  my samsung galaxy s6 have recently suffer screen damage so until i can get it fix i be used a cheap android and with these helpful feature and google backup manage to retrieve all of my important data include ointment date from calendar reminder to contacts  very impressed ,
3529,irshad bashir,2016-06-21,connect pc with mob and auto downloading on pc online whatever uploaded ,1.0
3530,bobby chaudhari,2016-06-21,lastly can keep my memory card free,
3531,richy rich,2016-06-21,ewesome,
3532,mark rees,2016-06-21,lot of good person out here let s have some fun and get to know each other and share some photo that really mean something to us,
3533,richie sidik,2016-06-21,good,
3534,heather bruehl,2016-06-21,it work really great,
3535,mark sylvester,2016-06-21,easy to use,
3536,jeff sarzaba,2016-06-21,nice lication storage,
3537,david gonz  lez rubio,2016-06-21,use mobile data to up photos because its turned on without ask me upload photos and it s supposed use only wifi but not    i think that was after and update ,1.0
3538,amir abu sada,2016-06-21,no privacy,
3539,husain sarguru,2016-06-21,an excellent,
3540,c starks jr,2016-06-21,i m downloading for android after have a great experience with io and online ,
3541,shailesh sharma,2016-06-21,best cloud service,1.0
3542,kwasi addai naami,2016-06-21,useful and easy to edit documents ,
3543,anil decepticon,2016-06-21,impressed me alot easy to upload sharing offline mode help alot  since i need some customization like material style colour theme etc hope u will have this option on ur next update thank u db  ,2.0
3544,joseph besspiata,2016-06-21,great for backup and free up space on phone ,
3545,deepak arya,2016-06-21,i send all my personal photo on and it always safe,
3546,raj kumar singh,2016-06-21,good,
3547,boopathy mathan,2016-06-21,its helped lot f thing to me,
3548,nouie daligdig,2016-06-21,s,
3549,farid talaee,2016-06-21,good,
3550,gunjan kothari,2016-06-21,best for cloud storage,
3551,shohel sarker,2016-06-21,i be confirm active to verify add my billing address from to direct online payment into my payoneer prepare dabit mastercard number now?,
3552,rana tahir,2016-06-21,excellent,
3553,anamika prashar,2016-06-21,wah,
3554,uzair alam,2016-06-21,good,
3555,annette ruiz,2016-06-21,,
3556,aman singh,2016-06-21,one of the best in best ! thank you  ,
3557,ray hollingsworth,2016-06-21,easier to use than google drive while provide better performance ,
3558,george tsonev,2016-06-21,useful!,
3559,juan angel,2016-06-21,good,
3560,nayab malik,2016-06-21,i like to save my all beautifull memory in this   so it s good,
3561,steven kingree,2016-06-21,i use it all the time ease of locate and store file transfer them give other access it s one of the easiest best s for phone and computer,1.0
